#bytes,#repetitions,t[usec],Mbytes/sec
2097152,20,332.52,6306.92
4194304,10,660.13,6353.78
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.31
2,1000,0.43,4.62
4,1000,0.44,9.19
8,1000,0.43,18.41
16,1000,0.43,36.78
32,1000,0.46,69.01
64,1000,0.46,138.43
128,1000,0.57,223.85
256,1000,0.61,418.49
512,1000,0.82,623.89
1024,1000,0.88,1158.88
2048,1000,1.07,1910.41
4096,1000,1.51,2708.04
8192,1000,2.03,4027.27
16384,1000,3.21,5104.77
32768,1000,5.06,6478.17
65536,640,9.33,7021.01
131072,320,17.84,7347.73
262144,160,34.37,7627.25
524288,80,82.38,6364.48
1048576,40,167.56,6257.74
2097152,20,332.48,6307.68
4194304,10,660.27,6352.44
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.34
2,1000,0.43,4.65
4,1000,0.43,9.28
8,1000,0.43,18.56
16,1000,0.43,37.16
32,1000,0.46,70.01
64,1000,0.46,137.87
128,1000,0.57,224.83
256,1000,0.60,424.42
512,1000,0.83,613.25
1024,1000,0.89,1152.46
2048,1000,1.07,1907.49
4096,1000,1.50,2728.24
8192,1000,1.96,4169.10
16384,1000,3.31,4944.98
32768,1000,5.04,6497.42
65536,640,9.14,7170.31
131072,320,17.80,7365.46
262144,160,34.07,7693.69
524288,80,81.52,6431.08
1048576,40,164.54,6372.68
2097152,20,327.46,6404.39
4194304,10,649.66,6456.10
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.44,4.59
4,1000,0.43,9.22
8,1000,0.43,18.45
16,1000,0.43,36.88
32,1000,0.46,69.55
64,1000,0.46,138.38
128,1000,0.58,220.30
256,1000,0.61,416.68
512,1000,0.83,614.21
1024,1000,0.89,1151.70
2048,1000,1.06,1928.70
4096,1000,1.48,2764.01
8192,1000,1.96,4189.54
16384,1000,3.30,4959.85
32768,1000,5.10,6421.92
65536,640,9.37,6996.20
131072,320,17.88,7332.09
262144,160,34.37,7628.08
524288,80,82.37,6365.35
1048576,40,167.35,6265.95
2097152,20,332.60,6305.34
4194304,10,659.24,6362.36
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.30
2,1000,0.43,4.60
4,1000,0.44,9.17
8,1000,0.44,18.31
16,1000,0.43,36.96
32,1000,0.46,69.10
64,1000,0.47,137.63
128,1000,0.58,220.89
256,1000,0.61,418.10
512,1000,0.82,621.61
1024,1000,0.89,1155.45
2048,1000,1.05,1957.84
4096,1000,1.51,2721.07
8192,1000,1.94,4231.19
16384,1000,3.25,5033.64
32768,1000,5.09,6443.42
65536,640,9.14,7171.19
131072,320,17.94,7306.33
262144,160,34.70,7555.40
524288,80,82.69,6340.22
1048576,40,169.42,6189.17
2097152,20,333.08,6296.24
4194304,10,661.26,6342.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.31
2,1000,0.43,4.61
4,1000,0.44,9.17
8,1000,0.43,18.44
16,1000,0.43,36.81
32,1000,0.46,69.37
64,1000,0.46,138.02
128,1000,0.58,222.51
256,1000,0.61,417.15
512,1000,0.83,617.59
1024,1000,0.89,1147.78
2048,1000,1.08,1903.28
4096,1000,1.56,2625.75
8192,1000,1.92,4258.08
16384,1000,3.23,5069.37
32768,1000,5.11,6417.64
65536,640,9.14,7169.34
131072,320,18.14,7226.98
262144,160,34.79,7534.83
524288,80,84.53,6202.74
1048576,40,169.53,6185.30
2097152,20,333.97,6279.46
4194304,10,663.94,6317.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.31
2,1000,0.44,4.58
4,1000,0.44,9.12
8,1000,0.44,18.33
16,1000,0.44,36.70
32,1000,0.47,68.31
64,1000,0.47,135.12
128,1000,0.57,225.87
256,1000,0.62,409.81
512,1000,0.83,613.96
1024,1000,0.91,1123.47
2048,1000,1.08,1896.36
4096,1000,1.50,2729.34
8192,1000,1.99,4124.52
16384,1000,3.22,5083.64
32768,1000,5.12,6398.32
65536,640,9.23,7096.90
131072,320,17.85,7341.23
262144,160,34.40,7620.39
524288,80,81.37,6443.11
1048576,40,166.13,6311.95
2097152,20,329.24,6369.65
4194304,10,652.87,6424.36
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.65
4,1000,0.43,9.21
8,1000,0.43,18.41
16,1000,0.44,36.75
32,1000,0.47,68.15
64,1000,0.47,136.62
128,1000,0.58,222.45
256,1000,0.61,416.72
512,1000,0.84,609.54
1024,1000,0.90,1132.61
2048,1000,1.09,1887.52
4096,1000,1.58,2590.93
8192,1000,2.08,3936.95
16384,1000,3.40,4816.14
32768,1000,5.11,6418.42
65536,640,9.17,7148.00
131072,320,17.91,7318.36
262144,160,34.49,7599.72
524288,80,82.29,6371.50
1048576,40,167.36,6265.24
2097152,20,332.58,6305.72
4194304,10,660.25,6352.61
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.62
4,1000,0.43,9.24
8,1000,0.43,18.44
16,1000,0.43,37.21
32,1000,0.47,68.47
64,1000,0.47,137.32
128,1000,0.58,220.36
256,1000,0.62,414.05
512,1000,0.80,637.05
1024,1000,0.89,1153.28
2048,1000,1.05,1957.90
4096,1000,1.46,2811.32
8192,1000,1.96,4184.79
16384,1000,3.30,4957.94
32768,1000,4.97,6593.93
65536,640,9.21,7113.54
131072,320,17.88,7330.31
262144,160,34.17,7672.20
524288,80,81.81,6408.54
1048576,40,166.07,6314.00
2097152,20,329.87,6357.58
4194304,10,653.24,6420.76
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.29
2,1000,0.44,4.58
4,1000,0.44,9.15
8,1000,0.43,18.42
16,1000,0.44,36.55
32,1000,0.46,68.91
64,1000,0.47,135.42
128,1000,0.57,226.33
256,1000,0.60,423.78
512,1000,0.82,622.12
1024,1000,0.89,1151.77
2048,1000,1.06,1926.83
4096,1000,1.51,2714.52
8192,1000,1.98,4131.98
16384,1000,3.26,5031.93
32768,1000,5.07,6461.50
65536,640,9.09,7208.34
131072,320,17.82,7355.44
262144,160,34.76,7540.71
524288,80,81.53,6430.33
1048576,40,165.77,6325.45
2097152,20,328.97,6374.81
4194304,10,652.30,6430.04
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.16
2,1000,0.24,8.22
4,1000,0.24,16.60
8,1000,0.24,33.30
16,1000,0.24,66.44
32,1000,0.25,128.62
64,1000,0.25,257.57
128,1000,0.27,479.50
256,1000,0.29,894.71
512,1000,0.46,1120.75
1024,1000,0.46,2240.26
2048,1000,0.61,3361.19
4096,1000,0.88,4656.76
8192,1000,1.41,5825.95
16384,1000,2.35,6957.97
32768,1000,3.52,9302.80
65536,640,5.76,11373.17
131072,320,8.80,14888.72
262144,160,15.30,17134.72
524288,80,40.87,12829.23
1048576,40,82.42,12721.99
2097152,20,158.48,13232.77
4194304,10,453.08,9257.27
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.19
2,1000,0.24,8.35
4,1000,0.24,16.72
8,1000,0.24,33.33
16,1000,0.24,66.62
32,1000,0.25,127.27
64,1000,0.25,253.33
128,1000,0.27,477.64
256,1000,0.29,887.78
512,1000,0.45,1133.49
1024,1000,0.45,2251.58
2048,1000,0.61,3333.15
4096,1000,0.89,4579.45
8192,1000,1.43,5729.23
16384,1000,2.39,6842.61
32768,1000,3.54,9251.80
65536,640,5.83,11244.80
131072,320,8.68,15091.99
262144,160,15.09,17374.06
524288,80,41.53,12622.82
1048576,40,82.63,12689.80
2097152,20,157.85,13285.35
4194304,10,452.56,9267.92
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.25
2,1000,0.24,8.50
4,1000,0.24,17.02
8,1000,0.23,34.06
16,1000,0.24,67.06
32,1000,0.24,131.30
64,1000,0.24,261.51
128,1000,0.26,489.06
256,1000,0.28,916.60
512,1000,0.44,1157.61
1024,1000,0.44,2333.90
2048,1000,0.60,3427.00
4096,1000,0.85,4803.90
8192,1000,1.44,5706.68
16384,1000,2.33,7024.54
32768,1000,3.46,9470.81
65536,640,5.70,11493.00
131072,320,8.66,15133.49
262144,160,14.99,17488.16
524288,80,40.31,13005.94
1048576,40,80.86,12967.03
2097152,20,153.46,13665.86
4194304,10,385.43,10882.16
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.27
2,1000,0.23,8.51
4,1000,0.23,17.05
8,1000,0.23,34.10
16,1000,0.24,68.03
32,1000,0.24,131.89
64,1000,0.24,262.90
128,1000,0.26,494.05
256,1000,0.28,906.28
512,1000,0.42,1211.28
1024,1000,0.45,2282.30
2048,1000,0.60,3435.65
4096,1000,0.86,4735.68
8192,1000,1.42,5774.09
16384,1000,2.37,6927.39
32768,1000,3.50,9366.60
65536,640,5.70,11505.73
131072,320,8.89,14749.25
262144,160,15.04,17430.57
524288,80,40.32,13003.33
1048576,40,81.55,12857.71
2097152,20,154.39,13583.18
4194304,10,388.13,10806.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.30
2,1000,0.23,8.59
4,1000,0.23,17.19
8,1000,0.23,34.38
16,1000,0.23,68.61
32,1000,0.24,132.96
64,1000,0.24,264.18
128,1000,0.26,496.30
256,1000,0.28,913.41
512,1000,0.42,1225.75
1024,1000,0.45,2299.94
2048,1000,0.59,3471.03
4096,1000,0.87,4715.13
8192,1000,1.43,5743.97
16384,1000,2.35,6961.96
32768,1000,3.54,9248.75
65536,640,5.67,11563.42
131072,320,8.58,15274.81
262144,160,14.89,17611.12
524288,80,41.77,12552.12
1048576,40,81.50,12866.25
2097152,20,153.32,13678.23
4194304,10,376.75,11132.97
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.45,2.22
2,1000,0.51,3.94
4,1000,0.29,13.70
8,1000,0.27,29.36
16,1000,0.41,39.29
32,1000,1.02,31.25
64,1000,0.29,221.74
128,1000,0.31,416.30
256,1000,0.65,393.30
512,1000,0.42,1222.81
1024,1000,0.44,2305.56
2048,1000,0.67,3040.21
4096,1000,0.85,4838.16
8192,1000,1.43,5743.34
16384,1000,2.36,6952.55
32768,1000,4.62,7094.73
65536,640,5.61,11683.86
131072,320,8.56,15303.29
262144,160,14.90,17595.16
524288,80,40.41,12974.66
1048576,40,80.88,12964.61
2097152,20,450.84,4651.62
4194304,10,818.63,5123.59
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.20
2,1000,0.24,8.49
4,1000,0.24,17.01
8,1000,0.24,34.00
16,1000,0.24,67.07
32,1000,0.24,130.94
64,1000,0.24,262.08
128,1000,0.26,489.42
256,1000,0.28,909.11
512,1000,0.42,1213.12
1024,1000,0.44,2351.70
2048,1000,0.60,3430.44
4096,1000,0.85,4809.89
8192,1000,1.42,5767.25
16384,1000,2.37,6918.84
32768,1000,3.46,9470.12
65536,640,5.68,11535.87
131072,320,8.58,15270.21
262144,160,14.94,17551.87
524288,80,41.38,12670.66
1048576,40,80.96,12952.35
2097152,20,158.56,13226.46
4194304,10,399.08,10509.90
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.29
2,1000,0.23,8.55
4,1000,0.23,17.12
8,1000,0.23,34.23
16,1000,0.23,68.48
32,1000,0.24,131.83
64,1000,0.24,262.46
128,1000,0.26,487.14
256,1000,0.28,910.40
512,1000,0.44,1173.72
1024,1000,0.45,2261.98
2048,1000,0.60,3425.01
4096,1000,0.84,4863.46
8192,1000,1.41,5809.82
16384,1000,2.32,7060.34
32768,1000,3.50,9372.84
65536,640,5.60,11699.61
131072,320,8.61,15222.85
262144,160,14.90,17595.18
524288,80,40.93,12810.11
1048576,40,81.33,12892.27
2097152,20,154.57,13567.97
4194304,10,364.55,11505.36
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.21
2,1000,0.24,8.30
4,1000,0.24,16.54
8,1000,0.24,33.52
16,1000,0.24,66.97
32,1000,0.25,129.62
64,1000,0.25,259.16
128,1000,0.26,489.34
256,1000,0.28,904.32
512,1000,0.41,1234.96
1024,1000,0.45,2265.61
2048,1000,0.59,3490.87
4096,1000,0.84,4860.47
8192,1000,1.43,5725.86
16384,1000,2.34,7002.01
32768,1000,3.49,9399.13
65536,640,5.66,11580.88
131072,320,8.59,15264.16
262144,160,14.95,17534.02
524288,80,40.99,12790.55
1048576,40,80.91,12960.19
2097152,20,153.04,13703.25
4194304,10,378.22,11089.65
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.24
2,1000,0.24,8.47
4,1000,0.24,16.95
8,1000,0.24,33.90
16,1000,0.24,67.52
32,1000,0.24,130.67
64,1000,0.25,260.83
128,1000,0.26,491.60
256,1000,0.28,910.73
512,1000,0.42,1212.18
1024,1000,0.45,2280.14
2048,1000,0.60,3425.04
4096,1000,0.84,4861.25
8192,1000,1.43,5733.52
16384,1000,2.33,7016.80
32768,1000,3.49,9378.39
65536,640,5.63,11634.36
131072,320,8.53,15372.89
262144,160,14.81,17706.09
524288,80,40.84,12839.17
1048576,40,80.65,13001.51
2097152,20,153.27,13682.80
4194304,10,383.90,10925.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.27
2,1000,0.23,8.53
4,1000,0.23,17.05
8,1000,0.23,34.10
16,1000,0.24,68.07
32,1000,0.24,132.56
64,1000,0.24,264.61
128,1000,0.26,498.81
256,1000,0.28,909.41
512,1000,0.41,1250.79
1024,1000,0.46,2241.52
2048,1000,0.59,3451.38
4096,1000,0.85,4798.36
8192,1000,1.42,5759.35
16384,1000,2.34,7000.33
32768,1000,3.54,9243.52
65536,640,5.72,11447.81
131072,320,8.64,15164.68
262144,160,14.96,17520.82
524288,80,41.17,12735.39
1048576,40,80.94,12954.26
2097152,20,154.69,13557.48
4194304,10,382.46,10966.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.27
2,1000,0.23,8.53
4,1000,0.23,17.07
8,1000,0.23,34.17
16,1000,0.23,68.13
32,1000,0.24,131.86
64,1000,0.24,263.49
128,1000,0.26,493.83
256,1000,0.28,911.91
512,1000,0.45,1148.82
1024,1000,0.45,2284.75
2048,1000,0.60,3429.71
4096,1000,0.85,4814.56
8192,1000,1.41,5804.93
16384,1000,2.31,7086.37
32768,1000,3.51,9336.11
65536,640,5.64,11625.58
131072,320,8.57,15299.78
262144,160,14.89,17599.94
524288,80,41.32,12687.84
1048576,40,81.19,12914.50
2097152,20,153.46,13665.91
4194304,10,376.84,11130.09
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.14,0.88
2,1000,1.14,1.76
4,1000,1.14,3.51
8,1000,1.13,7.06
16,1000,1.14,14.01
32,1000,1.15,27.71
64,1000,1.35,47.31
128,1000,1.39,91.90
256,1000,1.64,155.63
512,1000,1.72,297.55
1024,1000,1.89,543.08
2048,1000,2.68,764.46
4096,1000,3.44,1191.05
8192,1000,4.41,1858.51
16384,1000,6.19,2647.83
32768,1000,9.79,3346.66
65536,640,12.78,5127.98
131072,320,22.01,5955.19
262144,160,32.24,8130.27
524288,80,54.65,9594.30
1048576,40,98.59,10635.71
2097152,20,182.14,11514.09
4194304,10,353.68,11859.01
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.14,0.88
2,1000,1.15,1.74
4,1000,1.14,3.52
8,1000,1.14,7.04
16,1000,1.14,14.01
32,1000,1.16,27.68
64,1000,1.35,47.33
128,1000,1.39,92.12
256,1000,2.72,94.16
512,1000,1.73,296.29
1024,1000,1.90,537.79
2048,1000,2.61,784.38
4096,1000,3.44,1189.32
8192,1000,4.46,1835.97
16384,1000,6.29,2604.06
32768,1000,9.80,3342.09
65536,640,12.57,5214.96
131072,320,21.45,6109.95
262144,160,32.79,7993.59
524288,80,57.99,9041.18
1048576,40,97.45,10759.79
2097152,20,182.04,11520.00
4194304,10,353.17,11876.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.12,0.00
1,1000,1.12,0.89
2,1000,1.13,1.77
4,1000,1.13,3.55
8,1000,1.12,7.13
16,1000,1.12,14.24
32,1000,1.14,27.98
64,1000,1.32,48.53
128,1000,1.38,93.01
256,1000,1.62,157.76
512,1000,1.70,300.54
1024,1000,1.88,545.45
2048,1000,2.60,788.31
4096,1000,3.28,1247.28
8192,1000,4.26,1924.66
16384,1000,5.86,2797.34
32768,1000,9.33,3513.26
65536,640,12.71,5156.07
131072,320,21.52,6089.59
262144,160,32.63,8034.40
524288,80,54.13,9685.09
1048576,40,97.56,10748.56
2097152,20,183.18,11448.51
4194304,10,353.73,11857.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.12,0.00
1,1000,1.13,0.89
2,1000,1.13,1.77
4,1000,1.13,3.54
8,1000,1.13,7.11
16,1000,1.13,14.15
32,1000,1.15,27.73
64,1000,1.33,48.01
128,1000,1.38,92.60
256,1000,1.62,157.69
512,1000,1.71,300.22
1024,1000,1.87,546.15
2048,1000,2.56,800.39
4096,1000,3.33,1229.07
8192,1000,4.33,1892.16
16384,1000,6.08,2696.84
32768,1000,9.66,3392.45
65536,640,12.56,5219.86
131072,320,21.78,6017.58
262144,160,32.62,8035.95
524288,80,54.22,9669.06
1048576,40,96.40,10876.93
2097152,20,185.57,11301.37
4194304,10,351.46,11933.78
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.12,0.00
1,1000,1.12,0.89
2,1000,1.14,1.76
4,1000,1.13,3.55
8,1000,1.13,7.09
16,1000,1.13,14.18
32,1000,1.15,27.72
64,1000,1.33,48.10
128,1000,1.39,92.36
256,1000,1.63,157.26
512,1000,2.73,187.44
1024,1000,1.90,538.83
2048,1000,2.60,786.55
4096,1000,3.36,1218.08
8192,1000,4.37,1873.23
16384,1000,6.05,2708.03
32768,1000,9.63,3403.53
65536,640,12.66,5178.09
131072,320,22.15,5916.49
262144,160,32.18,8145.74
524288,80,57.99,9040.94
1048576,40,98.02,10698.04
2097152,20,181.88,11530.70
4194304,10,352.25,11907.03
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.13,0.89
2,1000,1.14,1.76
4,1000,1.13,3.53
8,1000,1.14,7.04
16,1000,1.13,14.11
32,1000,1.15,27.83
64,1000,1.33,48.07
128,1000,1.38,92.65
256,1000,1.64,155.72
512,1000,1.72,298.52
1024,1000,1.90,539.65
2048,1000,2.61,783.96
4096,1000,3.37,1216.93
8192,1000,4.36,1877.24
16384,1000,6.01,2727.14
32768,1000,9.52,3440.41
65536,640,12.53,5232.14
131072,320,21.97,5965.29
262144,160,32.35,8103.47
524288,80,55.17,9503.49
1048576,40,96.75,10838.04
2097152,20,181.91,11528.78
4194304,10,351.83,11921.51
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.08,0.00
1,1000,1.06,0.94
2,1000,1.07,1.87
4,1000,1.07,3.75
8,1000,1.06,7.54
16,1000,1.06,15.07
32,1000,1.09,29.49
64,1000,1.20,53.21
128,1000,1.25,102.11
256,1000,1.48,173.07
512,1000,1.55,330.12
1024,1000,1.72,594.90
2048,1000,2.35,871.85
4096,1000,3.03,1350.88
8192,1000,4.01,2042.30
16384,1000,5.86,2794.22
32768,1000,9.40,3486.04
65536,640,12.14,5396.17
131072,320,21.87,5992.35
262144,160,32.03,8184.73
524288,80,55.43,9458.31
1048576,40,96.71,10842.85
2097152,20,181.71,11541.42
4194304,10,351.54,11931.39
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.12,0.89
2,1000,1.13,1.77
4,1000,1.13,3.54
8,1000,1.13,7.09
16,1000,1.13,14.11
32,1000,1.15,27.79
64,1000,1.33,48.09
128,1000,1.38,92.47
256,1000,1.64,156.28
512,1000,1.71,298.65
1024,1000,1.88,544.09
2048,1000,2.54,806.87
4096,1000,3.29,1245.99
8192,1000,4.28,1916.14
16384,1000,5.92,2768.13
32768,1000,9.58,3419.97
65536,640,12.54,5227.41
131072,320,21.87,5992.05
262144,160,32.51,8063.20
524288,80,57.84,9063.88
1048576,40,98.59,10636.25
2097152,20,181.73,11540.05
4194304,10,353.14,11877.07
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.05,0.00
1,1000,1.05,0.95
2,1000,1.06,1.89
4,1000,1.06,3.77
8,1000,1.05,7.64
16,1000,1.05,15.23
32,1000,1.07,29.93
64,1000,1.18,54.04
128,1000,1.23,103.82
256,1000,1.46,175.01
512,1000,1.54,333.42
1024,1000,1.68,609.96
2048,1000,2.35,871.30
4096,1000,2.96,1381.50
8192,1000,3.95,2071.40
16384,1000,5.74,2852.26
32768,1000,9.41,3482.39
65536,640,12.49,5245.18
131072,320,21.53,6089.07
262144,160,32.46,8076.70
524288,80,54.25,9664.29
1048576,40,97.83,10718.46
2097152,20,181.95,11526.15
4194304,10,352.00,11915.56
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.14,0.00
1,1000,1.13,0.89
2,1000,1.13,1.77
4,1000,1.14,3.52
8,1000,1.13,7.06
16,1000,1.14,14.10
32,1000,1.15,27.86
64,1000,1.33,48.00
128,1000,1.38,92.76
256,1000,1.63,156.95
512,1000,1.71,299.42
1024,1000,1.89,541.98
2048,1000,2.52,811.11
4096,1000,3.32,1232.49
8192,1000,4.36,1879.67
16384,1000,5.94,2756.34
32768,1000,9.69,3382.93
65536,640,12.57,5214.66
131072,320,20.85,6285.76
262144,160,32.84,7981.75
524288,80,54.94,9543.13
1048576,40,96.62,10852.73
2097152,20,181.75,11538.79
4194304,10,352.02,11915.02
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.15,0.00
1,1000,1.13,0.88
2,1000,1.14,1.76
4,1000,1.14,3.50
8,1000,1.13,7.06
16,1000,1.14,14.08
32,1000,1.16,27.51
64,1000,1.34,47.79
128,1000,1.39,92.42
256,1000,2.66,96.24
512,1000,1.71,298.75
1024,1000,1.88,543.41
2048,1000,2.63,779.63
4096,1000,3.42,1198.61
8192,1000,4.33,1892.50
16384,1000,6.04,2711.39
32768,1000,9.70,3379.68
65536,640,12.72,5153.33
131072,320,21.89,5987.59
262144,160,32.34,8105.19
524288,80,57.99,9040.64
1048576,40,96.84,10827.92
2097152,20,181.91,11528.49
4194304,10,353.57,11862.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.04,0.00
1,1000,1.04,0.96
2,1000,1.06,1.89
4,1000,1.06,3.79
8,1000,1.04,7.66
16,1000,1.05,15.29
32,1000,1.07,29.96
64,1000,1.18,54.19
128,1000,1.23,104.13
256,1000,2.46,104.11
512,1000,1.55,331.32
1024,1000,1.69,607.08
2048,1000,2.35,872.82
4096,1000,3.06,1339.14
8192,1000,3.95,2072.15
16384,1000,5.65,2897.96
32768,1000,9.15,3580.45
65536,640,12.32,5318.33
131072,320,20.68,6338.73
262144,160,31.84,8232.83
524288,80,54.11,9688.77
1048576,40,96.69,10845.20
2097152,20,181.72,11540.66
4194304,10,351.60,11929.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.28
2,1000,0.44,4.53
4,1000,0.44,9.05
8,1000,0.44,18.16
16,1000,0.44,36.15
32,1000,0.48,66.38
64,1000,0.48,133.00
128,1000,0.60,212.23
256,1000,0.63,405.14
512,1000,0.85,602.23
1024,1000,0.90,1139.35
2048,1000,1.08,1902.88
4096,1000,1.54,2661.53
8192,1000,1.95,4202.60
16384,1000,3.32,4939.70
32768,1000,5.21,6292.81
65536,640,9.46,6924.32
131072,320,18.29,7165.90
262144,160,35.17,7454.64
524288,80,85.93,6101.41
1048576,40,186.80,5613.36
2097152,20,397.20,5279.80
4194304,10,849.49,4937.43
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.45,2.24
2,1000,0.45,4.49
4,1000,0.44,8.99
8,1000,0.45,17.91
16,1000,0.45,35.95
32,1000,0.49,65.18
64,1000,0.49,130.52
128,1000,0.60,213.81
256,1000,0.64,397.90
512,1000,0.87,586.40
1024,1000,0.95,1082.49
2048,1000,1.09,1870.43
4096,1000,1.48,2775.63
8192,1000,2.04,4007.38
16384,1000,3.36,4882.27
32768,1000,5.34,6135.02
65536,640,9.65,6789.47
131072,320,18.55,7066.77
262144,160,35.66,7351.87
524288,80,87.18,6014.19
1048576,40,193.66,5414.60
2097152,20,405.42,5172.76
4194304,10,895.38,4684.38
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.33
2,1000,0.43,4.63
4,1000,0.43,9.25
8,1000,0.43,18.41
16,1000,0.43,37.04
32,1000,0.47,67.61
64,1000,0.48,134.55
128,1000,0.57,224.83
256,1000,0.62,410.47
512,1000,0.83,616.97
1024,1000,0.89,1146.83
2048,1000,1.07,1919.33
4096,1000,1.53,2674.64
8192,1000,1.96,4171.39
16384,1000,3.26,5023.72
32768,1000,5.10,6426.44
65536,640,9.36,7002.99
131072,320,18.00,7281.30
262144,160,34.53,7591.90
524288,80,83.09,6309.97
1048576,40,170.36,6155.05
2097152,20,336.63,6229.76
