#bytes,#repetitions,t[usec],Mbytes/sec
128,1000,7.83,16.35
256,1000,7.85,32.60
512,1000,7.95,64.37
1024,1000,9.16,111.85
2048,1000,8.53,240.05
4096,1000,10.36,395.38
8192,1000,11.29,725.71
16384,1000,15.56,1052.83
32768,1000,26.32,1244.85
65536,640,56.38,1162.31
131072,320,75.63,1732.99
262144,160,107.68,2434.57
524288,80,171.81,3051.50
1048576,40,308.09,3403.44
2097152,20,596.79,3514.06
4194304,10,1219.91,3438.20
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.67,0.00
1,1000,7.78,0.13
2,1000,7.77,0.26
4,1000,7.76,0.52
8,1000,7.76,1.03
16,1000,7.73,2.07
32,1000,7.81,4.10
64,1000,7.77,8.23
128,1000,8.07,15.86
256,1000,8.11,31.55
512,1000,8.20,62.46
1024,1000,9.19,111.37
2048,1000,8.74,234.35
4096,1000,10.48,390.92
8192,1000,11.39,719.10
16384,1000,15.49,1057.70
32768,1000,25.89,1265.73
65536,640,56.99,1149.95
131072,320,76.18,1720.67
262144,160,108.55,2415.03
524288,80,171.05,3065.11
1048576,40,305.59,3431.32
2097152,20,590.11,3553.80
4194304,10,1210.21,3465.78
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.81,0.00
1,1000,7.83,0.13
2,1000,7.87,0.25
4,1000,7.81,0.51
8,1000,7.84,1.02
16,1000,7.81,2.05
32,1000,7.87,4.07
64,1000,7.87,8.13
128,1000,8.20,15.61
256,1000,8.18,31.28
512,1000,8.25,62.08
1024,1000,9.24,110.85
2048,1000,8.81,232.43
4096,1000,10.51,389.58
8192,1000,11.44,716.01
16384,1000,15.66,1046.48
32768,1000,26.11,1254.98
65536,640,57.35,1142.68
131072,320,76.43,1714.90
262144,160,108.91,2407.05
524288,80,172.38,3041.53
1048576,40,307.53,3409.67
2097152,20,595.17,3523.61
4194304,10,1215.53,3450.59
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.78,0.00
1,1000,7.82,0.13
2,1000,7.82,0.26
4,1000,7.81,0.51
8,1000,7.82,1.02
16,1000,7.81,2.05
32,1000,7.83,4.09
64,1000,7.85,8.15
128,1000,8.20,15.61
256,1000,8.26,31.01
512,1000,8.21,62.36
1024,1000,9.04,113.33
2048,1000,8.83,231.97
4096,1000,10.33,396.57
8192,1000,11.57,708.16
16384,1000,15.43,1061.94
32768,1000,26.08,1256.35
65536,640,57.30,1143.71
131072,320,76.38,1715.96
262144,160,108.80,2409.38
524288,80,172.79,3034.17
1048576,40,308.31,3401.07
2097152,20,599.21,3499.85
4194304,10,1231.48,3405.92
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.67,0.00
1,1000,7.81,0.13
2,1000,7.78,0.26
4,1000,7.71,0.52
8,1000,7.79,1.03
16,1000,7.77,2.06
32,1000,7.77,4.12
64,1000,7.81,8.19
128,1000,8.15,15.71
256,1000,8.12,31.51
512,1000,8.17,62.63
1024,1000,9.30,110.13
2048,1000,8.82,232.13
4096,1000,10.59,386.78
8192,1000,11.51,711.58
16384,1000,15.85,1033.41
32768,1000,26.45,1238.72
65536,640,56.80,1153.90
131072,320,76.39,1715.76
262144,160,109.09,2402.92
524288,80,172.39,3041.28
1048576,40,307.38,3411.33
2097152,20,593.41,3534.06
4194304,10,1217.86,3444.00
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.60,0.00
1,1000,7.67,0.13
2,1000,7.70,0.26
4,1000,7.65,0.52
8,1000,7.69,1.04
16,1000,7.68,2.08
32,1000,7.68,4.17
64,1000,7.70,8.31
128,1000,8.05,15.89
256,1000,8.04,31.83
512,1000,8.08,63.38
1024,1000,9.14,112.04
2048,1000,8.62,237.54
4096,1000,10.40,393.86
8192,1000,11.32,723.42
16384,1000,15.57,1051.97
32768,1000,26.06,1257.24
65536,640,56.35,1162.92
131072,320,75.54,1735.05
262144,160,108.11,2424.69
524288,80,172.96,3031.29
1048576,40,308.51,3398.88
2097152,20,598.48,3504.10
4194304,10,1225.47,3422.62
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.84,0.00
1,1000,7.95,0.13
2,1000,7.92,0.25
4,1000,7.93,0.50
8,1000,7.93,1.01
16,1000,7.99,2.00
32,1000,7.97,4.01
64,1000,7.95,8.05
128,1000,8.31,15.41
256,1000,8.37,30.58
512,1000,8.40,60.95
1024,1000,9.35,109.50
2048,1000,8.91,229.83
4096,1000,10.57,387.56
8192,1000,11.52,711.19
16384,1000,15.83,1035.32
32768,1000,26.44,1239.55
65536,640,57.77,1134.47
131072,320,76.35,1716.67
262144,160,108.76,2410.36
524288,80,171.67,3054.10
1048576,40,306.35,3422.75
2097152,20,591.66,3544.49
4194304,10,1218.48,3442.24
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.00
1,1000,0.66,1.51
2,1000,0.66,3.03
4,1000,0.65,6.11
8,1000,0.65,12.35
16,1000,0.74,21.62
32,1000,0.76,42.00
64,1000,0.88,72.97
128,1000,1.08,119.00
256,1000,1.13,226.83
512,1000,1.25,408.59
1024,1000,1.48,689.76
2048,1000,1.95,1051.93
4096,1000,2.91,1408.01
8192,1000,3.52,2323.99
16384,1000,3.66,4481.74
32768,1000,4.92,6656.90
65536,640,6.06,10811.01
131072,320,9.04,14495.05
262144,160,15.92,16465.25
524288,80,31.82,16476.89
1048576,40,84.83,12360.20
2097152,20,201.96,10384.20
4194304,10,399.87,10489.13
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.00
1,1000,0.62,1.62
2,1000,0.61,3.25
4,1000,0.63,6.39
8,1000,0.62,12.96
16,1000,0.75,21.34
32,1000,0.75,42.87
64,1000,0.86,74.40
128,1000,1.03,123.82
256,1000,1.29,198.40
512,1000,1.16,441.80
1024,1000,1.51,676.61
2048,1000,1.87,1093.19
4096,1000,2.90,1413.72
8192,1000,3.65,2245.18
16384,1000,3.87,4236.90
32768,1000,4.99,6566.71
65536,640,6.06,10809.35
131072,320,9.23,14200.05
262144,160,15.61,16790.63
524288,80,32.64,16064.88
1048576,40,85.27,12297.06
2097152,20,202.56,10353.02
4194304,10,400.09,10483.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.60,1.65
2,1000,0.61,3.30
4,1000,0.61,6.51
8,1000,0.61,13.07
16,1000,0.74,21.75
32,1000,0.75,42.88
64,1000,0.84,75.93
128,1000,0.98,130.95
256,1000,1.15,223.56
512,1000,1.13,452.09
1024,1000,1.58,648.03
2048,1000,1.75,1169.91
4096,1000,2.84,1439.84
8192,1000,3.44,2382.03
16384,1000,3.71,4418.02
32768,1000,4.62,7097.10
65536,640,5.90,11107.67
131072,320,9.53,13747.87
262144,160,15.76,16638.48
524288,80,31.84,16465.09
1048576,40,84.50,12408.63
2097152,20,201.95,10384.68
4194304,10,400.04,10484.61
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.62,1.62
2,1000,0.62,3.25
4,1000,0.61,6.55
8,1000,0.61,13.09
16,1000,0.71,22.47
32,1000,0.74,43.38
64,1000,0.88,72.38
128,1000,1.05,121.45
256,1000,1.18,216.08
512,1000,1.14,449.41
1024,1000,1.47,695.00
2048,1000,1.73,1183.54
4096,1000,2.81,1457.89
8192,1000,3.45,2372.93
16384,1000,3.55,4614.35
32768,1000,4.79,6834.32
65536,640,5.79,11327.88
131072,320,9.42,13916.54
262144,160,15.75,16639.16
524288,80,32.24,16260.60
1048576,40,84.35,12431.37
2097152,20,202.07,10378.48
4194304,10,399.52,10498.41
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.62,1.61
2,1000,0.61,3.26
4,1000,0.62,6.48
8,1000,0.63,12.76
16,1000,0.74,21.49
32,1000,0.80,40.08
64,1000,0.91,70.01
128,1000,1.04,123.62
256,1000,1.22,209.84
512,1000,1.18,433.23
1024,1000,1.45,707.01
2048,1000,1.72,1190.69
4096,1000,3.05,1341.05
8192,1000,3.34,2454.16
16384,1000,3.88,4228.09
32768,1000,4.61,7111.61
65536,640,6.47,10123.80
131072,320,8.96,14632.51
262144,160,15.87,16517.40
524288,80,32.02,16373.89
1048576,40,85.28,12295.18
2097152,20,201.44,10411.05
4194304,10,400.78,10465.39
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.00
1,1000,0.63,1.58
2,1000,0.60,3.35
4,1000,0.64,6.21
8,1000,0.63,12.79
16,1000,0.76,21.01
32,1000,0.80,39.89
64,1000,0.88,73.09
128,1000,1.05,121.58
256,1000,1.16,220.97
512,1000,1.28,399.77
1024,1000,1.55,660.51
2048,1000,1.90,1078.48
4096,1000,2.89,1415.18
8192,1000,3.46,2364.51
16384,1000,3.63,4517.69
32768,1000,4.99,6563.45
65536,640,6.02,10887.47
131072,320,9.52,13774.70
262144,160,15.82,16572.30
524288,80,32.26,16250.84
1048576,40,85.21,12305.22
2097152,20,202.19,10371.98
4194304,10,401.14,10455.84
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.00
1,1000,0.63,1.60
2,1000,0.64,3.14
4,1000,0.63,6.40
8,1000,0.63,12.62
16,1000,0.74,21.49
32,1000,0.73,43.81
64,1000,0.88,72.76
128,1000,1.04,122.91
256,1000,1.17,218.91
512,1000,1.18,434.98
1024,1000,1.51,679.17
2048,1000,1.74,1177.85
4096,1000,2.98,1374.33
8192,1000,3.32,2468.62
16384,1000,3.81,4304.57
32768,1000,4.62,7088.87
65536,640,5.91,11095.94
131072,320,8.77,14948.26
262144,160,15.56,16844.55
524288,80,32.12,16323.51
1048576,40,85.31,12291.90
2097152,20,202.58,10352.44
4194304,10,399.75,10492.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.00
1,1000,0.63,1.58
2,1000,0.63,3.20
4,1000,0.63,6.35
8,1000,0.64,12.49
16,1000,0.73,21.79
32,1000,0.79,40.47
64,1000,0.88,73.12
128,1000,0.99,129.28
256,1000,1.20,213.53
512,1000,1.18,434.41
1024,1000,1.53,670.47
2048,1000,1.74,1178.20
4096,1000,2.89,1415.93
8192,1000,3.48,2354.30
16384,1000,3.58,4576.09
32768,1000,4.76,6885.96
65536,640,5.83,11249.37
131072,320,9.41,13933.70
262144,160,15.89,16497.54
524288,80,32.51,16124.73
1048576,40,87.27,12015.07
2097152,20,207.73,10095.45
4194304,10,409.69,10237.85
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.61,1.64
2,1000,0.60,3.32
4,1000,0.60,6.64
8,1000,0.60,13.36
16,1000,0.73,21.97
32,1000,0.76,42.17
64,1000,0.89,71.81
128,1000,1.01,127.33
256,1000,1.18,216.67
512,1000,1.17,439.07
1024,1000,1.46,700.86
2048,1000,1.75,1170.24
4096,1000,2.99,1370.53
8192,1000,3.39,2415.35
16384,1000,3.56,4605.03
32768,1000,4.89,6694.65
65536,640,6.10,10751.36
131072,320,8.82,14855.92
262144,160,15.64,16764.77
524288,80,31.50,16642.73
1048576,40,84.90,12350.81
2097152,20,203.16,10322.75
4194304,10,405.26,10349.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.00
1,1000,0.63,1.58
2,1000,0.63,3.19
4,1000,0.63,6.38
8,1000,0.62,12.81
16,1000,0.76,21.02
32,1000,0.77,41.32
64,1000,0.89,71.74
128,1000,1.03,124.74
256,1000,1.19,216.00
512,1000,1.18,435.57
1024,1000,1.43,713.59
2048,1000,1.76,1165.48
4096,1000,2.92,1403.72
8192,1000,3.54,2316.43
16384,1000,3.84,4266.74
32768,1000,4.85,6750.68
65536,640,5.99,10940.65
131072,320,9.53,13752.58
262144,160,16.06,16322.92
524288,80,32.41,16177.62
1048576,40,85.69,12236.21
2097152,20,201.55,10405.08
4194304,10,401.05,10458.21
